Phoneme,InClass,BetweenClass,Both
ɦ,535,0,0
z,65,65,91
ʒ,162,0,0
ð,14,0,0
ʁ,26,3,4
ɣ,26,461,86
v,21,124,96
vː,0,2,10
ɦː,8,0,0
ʕʷ,1,0,0
f,5,558,26
θ,20,0,0
ʂ,3,97,1
x,12,1078,86
h,17,134,6
ʒː,8,0,0
vʷ,0,1,1
ɲʒ,6,0,0
n̠ʒʷ,1,0,0
ɱvʷ,1,0,0
ʒʷ,4,0,0
vʲ,1,1,1
xʲ,0,12,1
ħ,4,0,0
ʝ,27,134,3
ɦʷ,6,0,0
ʐ,16,70,10
ʃ,10,0,0
ʕ,11,0,0
zʷ,2,1,1
ç,3,241,0
s,3,83,2
ɱf,2,0,0
θˠ,1,0,0
xʷ,0,39,1
ʑ,13,0,0
ɣː,2,14,3
sː,0,1,1
χ,11,69,6
ɦʲ,4,0,0
θʲ,2,0,0
zː,3,0,3
nz,0,15,1
ŋɦ,1,0,0
ŋx,1,0,0
xˀ,1,0,0
zʲ,1,3,0
ɣʲ,1,6,4
ħː,1,0,0
ʃˤː,1,0,0
θː,2,0,0
ɣʲː,0,0,1
ʑː,1,0,0
ʐː,1,2,0
ɦ̥,1,0,0
ʁʷ,1,0,0
ʒʲ,1,0,0
ɣʷ,2,13,0
fʲ,0,4,1
zˠ,0,0,1
vˤ,0,2,0
vˤː,0,1,0
ŋɣ,0,53,0
ɲʝ,0,9,0
mvʷ,0,1,0
ŋɣʷ,0,2,0
mv,0,17,0
ʝʷ,0,2,0
z̪ʱ,0,2,0
ʐʱ,0,2,0
ɣʱ,0,2,0
ʝʱ,0,1,0
ʝ̤,0,1,0
ʝː,0,2,0
ʝʲ,0,1,0
ɱvʲ,0,1,0
ɣɾ,0,1,0
ŋɣɾ,0,1,0
v̤,0,1,0
ʼv,0,1,0
ʼz,0,1,0
xː,0,26,0
xʰ,0,11,0
sʷ,0,3,0
χʷ,0,3,0
çʲ,0,3,0
çʷ,0,3,0
fʷ,0,2,0
f̰,0,2,0
s̰,0,1,0
xʼ,0,8,0
fʰ,0,13,0
fʼ,0,6,0
χʰ,0,2,0
sʲ,0,5,0
hʷ,0,2,0
çʼ,0,1,0
χʼ,0,2,0
çː,0,6,0
fː,0,5,0
χː,0,3,0
ʂː,0,5,0
hː,0,4,0
ns,0,1,0
xʼː,0,1,0
fʼː,0,1,0
xʷː,0,1,0
çʰ,0,1,0
fˤ,0,1,0
ʰxʰ,0,1,0
ʰfʰ,0,1,0
ʰχʰ,0,1,0
xʷʲ,0,1,0
ʂʰ,0,1,0
fʲʰ,0,1,0
sʼ,0,1,0
