Language,InventorySize,GapCount
aari1239,26,4
adam1253,29,3
balt1258,35,2
bash1264,28,4
cent1972,31,2
cent2194,36,6
chal1275,37,2
coeu1236,40,2
dido1241,36,2
diml1238,30,2
doma1258,33,3
egyp1253,27,5
guja1253,35,4
hara1271,25,4
huam1248,21,4
huay1240,20,1
hueh1236,26,1
hunz1247,36,3
ishk1246,32,2
japh1234,50,2
jiar1240,52,2
kaby1243,27,8
kara1467,25,2
kgal1244,43,3
kumy1244,23,6
kumz1235,27,6
kunz1244,23,6
lahu1253,24,2
lakk1252,58,4
liby1240,34,4
lish1246,24,2
lizu1234,50,2
mamm1241,33,2
maza1291,22,3
moco1246,21,3
moro1292,74,10
munj1244,35,4
nort2690,24,4
nort2722,39,2
nort2745,20,1
nubi1253,30,5
nucl1347,38,3
paiw1248,21,2
phal1254,30,3
pila1245,18,2
puel1244,29,3
pula1263,28,1
puxi1242,36,3
quil1240,33,1
saur1249,24,1
sayu1241,19,4
sere1260,33,2
serr1255,33,1
shix1238,51,4
soni1259,28,4
sout2672,29,4
sout2750,20,3
sout2965,33,2
sumi1235,32,2
tach1250,71,13
tada1238,59,9
taha1241,25,5
taji1245,23,2
taro1264,33,7
tata1255,29,2
tawa1286,23,6
tena1240,21,2
tigr1271,32,3
toba1269,20,6
tuvi1240,28,7
tzut1248,25,1
uigh1240,28,4
urdu1245,37,5
uruu1244,23,4
wakh1245,38,2
wint1259,30,2
xamt1239,23,7
yagn1238,27,2
yaku1245,20,1
zayy1238,23,4
zhon1235,59,2
amha1245,61,7
andi1255,63,7
cogu1240,24,3
east2652,48,10
hadi1240,46,2
jola1262,31,3
kamb1316,49,5
koor1239,51,4
nara1262,43,4
silt1240,46,5
suda1236,54,6
lezg1247,88,5
afar1241,17,5
afit1238,17,1
ahan1243,24,1
ajab1235,23,4
akpe1248,21,1
amel1241,15,1
araw1276,16,2
baba1266,26,2
bafu1246,21,3
baka1272,25,1
bamu1256,23,4
bari1297,10,2
baru1269,14,3
bela1256,25,1
bili1260,31,5
bubi1249,25,4
bulu1251,24,2
bumm1238,37,3
cari1279,14,1
cent2050,18,2
chua1250,12,1
efik1245,13,2
ewon1239,15,1
ezha1238,33,5
faiw1243,12,1
fang1246,25,2
gagu1242,20,1
gbes1238,31,2
gras1249,11,1
hang1263,16,2
haus1257,32,4
hung1278,20,2
ibib1240,17,2
inor1238,39,5
kama1367,23,3
katc1250,23,2
keme1240,20,1
kens1251,55,11
kist1241,34,5
kohu1244,28,3
komc1235,59,7
kosh1246,23,2
kota1272,29,2
kuna1268,23,4
lavu1241,15,3
limb1268,23,4
long1387,20,2
macu1260,10,1
maka1304,30,2
mbuu1238,26,2
medu1238,16,1
mesq1240,34,5
mian1257,13,1
mund1328,22,1
muru1274,14,2
najd1235,25,6
naki1238,36,5
nawd1238,21,3
ncan1245,17,2
ngem1255,29,2
nias1242,19,4
nort2697,24,5
nort3047,29,2
norw1258,24,3
nzim1238,24,1
obol1243,22,1
okuu1243,18,2
onge1236,16,1
pala1344,10,2
piny1238,42,4
rend1243,21,2
saam1283,20,4
samo1303,12,1
saxw1241,24,4
sela1259,14,2
sida1246,25,4
sodd1242,34,5
suri1267,22,2
suru1263,18,3
tama1331,21,2
tama1365,22,5
tetu1245,13,2
tigr1270,26,3
tiru1241,16,1
tuli1249,37,4
tuni1251,24,1
turk1304,21,4
urar1246,16,2
veng1238,56,11
wehh1238,37,1
west2456,29,2
woge1237,15,2
xwel1235,29,2
yare1248,13,1
yavi1244,17,1
yemb1246,17,1
yoru1245,18,1
yuwa1244,21,4
afad1236,27,1
ando1256,11,2
aran1237,13,1
baka1273,16,1
bare1279,32,2
basq1248,21,1
bass1260,20,2
bidy1244,18,2
bodo1267,17,4
bond1245,21,1
boun1243,27,3
dera1248,24,1
gaaa1245,22,2
gali1258,23,2
ghod1238,53,10
gida1247,28,2
kang1288,53,2
kuwa1246,20,4
kway1241,17,2
lega1249,18,3
mboc1235,21,2
nade1244,17,1
ngan1291,20,1
nkon1248,20,4
nort2819,21,1
nucl1339,18,1
nucl1634,13,3
otuh1238,33,3
sout2918,17,1
swah1253,32,3
tese1238,24,4
tsuv1239,28,2
yalu1240,19,1
yura1255,18,2
avik1243,25,2
burj1242,26,5
dark1243,20,1
dolg1241,22,1
fraf1238,20,3
jeme1245,39,2
matu1259,15,1
mpon1254,29,1
plau1238,28,3
taga1270,21,3
tzel1254,22,1
usan1239,14,1
bady1239,25,6
dibo1245,21,4
kura1250,26,3
wame1240,39,4
bafa1247,27,2
ndem1249,30,3
ayor1240,20,1
blan1242,24,3
chua1256,46,3
dhim1246,31,1
east2337,28,7
kild1236,113,12
koho1244,27,1
lowa1242,35,3
ndon1254,29,5
sich1238,58,3
siri1273,18,5
abur1243,20,3
acha1250,19,3
afri1274,16,4
aheu1239,20,2
aika1237,15,1
anyi1245,21,1
arao1248,19,3
araw1273,12,2
awin1248,39,2
baga1273,17,1
bako1249,26,1
bako1250,27,2
bank1256,26,2
bare1276,19,1
basa1284,29,3
bial1238,14,1
bilo1248,12,3
cash1254,15,1
cavi1250,20,1
cayu1262,17,4
cent1990,16,3
chic1270,16,2
choc1276,15,2
chol1282,20,2
chon1284,21,2
colo1256,16,1
cube1242,11,1
cuib1242,17,1
culi1244,17,1
curr1243,25,4
dita1238,17,1
dual1243,21,1
dutc1256,18,3
ekar1243,10,1
embe1259,21,1
embe1262,16,1
enaw1238,13,1
fuln1247,21,2
gads1258,9,2
guah1255,17,1
guay1257,16,1
hixk1239,18,1
iran1263,21,2
iton1250,19,1
jica1244,34,3
jowu1238,20,1
juru1256,18,3
kain1272,11,2
katc1249,39,3
keig1242,37,6
kele1255,21,3
kett1243,14,1
kham1282,44,2
kima1246,20,1
kitu1245,17,2
koas1236,15,2
krac1238,17,1
krim1238,22,1
kris1246,9,1
kron1241,40,8
kuan1247,26,5
kuay1244,22,2
kuru1309,18,1
ladi1251,20,4
lake1258,29,2
laoo1244,21,4
leco1242,24,2
leti1246,10,2
ling1263,15,2
luuu1242,21,5
maca1259,16,2
mall1246,17,2
mati1255,15,1
mats1244,15,1
mbuk1240,22,4
meru1245,17,3
mokp1239,22,3
mose1249,23,1
movi1243,19,1
mund1330,17,1
nate1242,13,1
nene1249,24,3
njeb1242,24,4
nort2684,24,1
nort2740,21,5
nort2741,21,4
nort2765,22,3
nort2787,16,2
nort2810,19,1
nort2966,29,1
nucl1454,14,1
nucl1668,12,1
nuku1263,14,4
nyaw1245,19,2
nyeu1238,20,2
orok1266,22,1
pano1255,14,2
paok1235,20,2
phut1244,20,2
piap1246,15,1
piar1243,23,1
pnar1238,24,1
poya1241,14,1
puri1262,12,2
pwon1235,23,1
rikb1245,14,1
saek1240,23,4
samr1245,20,2
seco1241,14,3
shan1277,21,5
siam1242,22,4
sout2746,20,2
taca1256,18,2
taid1248,21,4
taid1249,20,4
tani1257,11,1
tari1256,23,3
temb1276,14,2
texi1237,19,1
thai1261,21,1
timn1235,19,1
trum1247,23,2
tupa1250,14,2
tupi1273,13,2
tzot1259,21,2
waam1244,13,2
waim1251,9,2
weno1238,15,1
west2450,17,1
wola1242,38,9
wong1247,15,1
xere1240,13,2
xipa1240,14,3
xiri1243,19,1
ango1258,22,1
baba1264,23,3
bamb1265,34,2
band1352,23,4
boik1241,17,2
chir1286,17,2
fwee1238,50,3
hang1260,23,2
ikpe1245,12,2
jita1239,17,2
juma1249,12,2
kaya1329,14,2
kuny1238,44,7
lele1266,19,4
loth1237,35,2
muni1258,22,2
myen1241,29,2
ngas1238,22,1
ngwe1238,24,2
ning1273,14,2
nort2980,19,2
opuu1239,20,1
pait1244,19,4
pare1266,16,3
prin1242,22,3
saki1248,16,2
sant1432,20,6
saot1239,19,4
sata1237,29,2
suba1252,23,4
suii1243,46,5
tolo1259,26,7
tong1318,33,5
toto1305,14,3
west2458,31,3
yill1241,12,2
hopi1249,22,1
kagu1239,26,1
kwam1251,29,6
nucl1290,27,3
seme1247,33,2
teee1242,23,1
juho1239,95,3
baka1274,36,4
ewee1241,27,4
fonn1241,24,3
gbay1288,41,3
genn1243,25,2
igoo1238,23,2
koon1245,22,3
lele1264,22,3
logb1245,25,3
many1261,18,2
nari1240,22,1
ngba1285,22,2
nucl1418,22,2
siwu1238,20,2
temm1241,25,2
tofi1235,23,3
toho1245,19,1
wapi1253,18,1
aman1265,14,1
buru1301,19,3
czec1258,27,3
elip1238,19,1
gata1239,23,1
karo1306,14,2
loko1255,18,1
nhen1239,19,2
ntom1248,23,1
ocai1244,26,4
peta1245,15,1
pira1253,8,1
tiga1245,12,1
tote1238,44,8
tuka1248,24,1
yane1238,24,3
bamb1269,32,2
befa1241,43,8
besl1239,39,2
nucl1696,40,2
ambe1247,38,1
bala1302,33,2
mvum1238,47,7
