Phoneme,InClass,BetweenClass,Both
ɢ,57,33,24
pː,6,1,9
pˤ,1,0,0
pˤː,1,0,0
ɢː,4,0,0
ɢʷ,8,0,0
p,18,20,98
c,38,56,1
k,16,8,4
m̥p,5,0,0
nɡ,5,1,0
ŋ̊,12,0,0
ɡ,157,1,6
b,47,3,10
ɲ̊,11,0,0
pʼ,1,0,0
ʈ,30,71,1
d,66,5,6
pʷ,13,0,4
mp,5,0,4
mpʷ,3,0,1
ɟ,40,22,0
pʲ,3,0,2
ʄ,1,0,0
ɴɢ,1,0,0
cʷ,1,0,0
ɖ,15,25,0
ɖʰ,14,0,0
dʲ,4,0,0
dʷ,11,0,1
ŋkʷ,2,0,0
ɢʰ,1,0,0
ɲc,2,0,0
bʲ,1,0,2
bʷ,4,0,0
nt,3,0,0
kʲ,3,0,0
n̥,3,0,0
ɱ,1,0,0
ɲ,1,0,0
m̥,6,0,0
ɟʷ,1,0,0
nd,1,0,0
dː,4,0,0
tʷ,1,3,0
ɡʲ,3,0,0
ɡʷ,4,0,0
t,3,33,2
ɡː,3,0,0
bː,1,0,0
ŋk,1,0,0
ɖː,2,0,0
ɟː,2,0,0
cː,2,1,0
tː,1,1,1
ŋ,3,0,0
kʷ,1,0,0
tʲ,2,2,0
ntʷ,1,0,0
bʰ,19,0,0
dʰ,18,0,0
ɡʰ,1,0,0
ʱɡ,1,0,0
ʰp,1,0,0
pʷː,1,0,0
ɢʷː,2,0,0
ŋ̊ʲ,1,0,0
ŋ̊ʲː,1,0,0
ŋ̊ː,1,0,0
ɲ̊ː,1,0,0
ɟ̥,1,0,0
d̥,1,0,0
q,0,47,2
qʷ,1,1,0
pʰ,1,1,0
d̪ʰ,1,0,0
bʱ,1,0,0
cʰ,2,0,0
ʈː,1,1,0
dʱ,1,0,0
ɡ̊,1,0,0
ɢ̥,3,0,0
ɢ̥ʷ,2,0,0
ʔ,0,541,0
ʔʷ,0,11,0
ʔː,0,4,0
ʔʲ,0,6,0
ʈʰ,0,2,0
null,0,333,0
mb,0,1,0
